DATE,CUSIP
5/2/2019,50077LAJ5
5/2/2019,50076QAZ9
5/3/2019,723664AB4
5/3/2019,G0788KAA4
5/3/2019,G47665AA5
5/3/2019,G2585XAA7
5/3/2019,C10602AW7
5/6/2019,C10602AW7
5/6/2019,957297EM2
5/6/2019,L6401PAH6
5/6/2019,P2867KAE6
5/6/2019,P07785AE1
5/7/2019,71647NAF6
5/7/2019,71647NAY5
5/7/2019,71647NAM1
5/7/2019,256882AD3
5/8/2019,928563AC9
5/8/2019,6174467Y9
5/8/2019,71647NAQ2
5/8/2019,172967KK6
5/9/2019,G0457FAC1
5/9/2019,06051GHE2
5/9/2019,05968AAD8
5/9/2019,912909AM0
5/9/2019,P989MJBN0
5/9/2019,37247DAN6
5/9/2019,P32133CG6
5/9/2019,P8S090MU7
5/9/2019,920253AE1
5/10/2019,594918BN3
5/10/2019,279158AC3
5/10/2019,920253AE1
5/10/2019,05967FAB2
5/10/2019,71654QCG5
5/10/2019,02005NAZ3
5/10/2019,71647NAM1
5/10/2019,71645WAS0
5/10/2019,69783UAA9
5/10/2019,58013MEQ3
5/13/2019,594918BN3
5/13/2019,02005NAZ3
5/13/2019,94973VBH9
5/13/2019,P989MJBE0
5/13/2019,P04559AL7
5/13/2019,92553PAX0
5/13/2019,58933YAR6
5/13/2019,02079KAC1
5/14/2019,84265VAD7
5/14/2019,G47661AA4
5/14/2019,02005NAZ3
5/14/2019,172967HU8
5/14/2019,45845PAB4
5/14/2019,912909AM0
5/14/2019,G4109CAA6
5/14/2019,G20011AC9
5/14/2019,451102BF3
5/15/2019,94973VBH9
5/15/2019,80283LAH6
5/15/2019,084664CK5
5/15/2019,02665WAH4
5/15/2019,U07265AH1
5/15/2019,59156RBP2
5/15/2019,P57908AD0
5/15/2019,71654QCD2
5/16/2019,P8055KWL5
5/16/2019,71647NAZ2
5/16/2019,254687CY0
5/16/2019,05329WAP7
5/16/2019,096630AG3
5/16/2019,67059TAE5
5/16/2019,15135BAJ0
5/16/2019,878237AH9
5/16/2019,02209SBD4
5/16/2019,71656MAF6
5/16/2019,U1109MAB2
5/16/2019,444859BF8
5/16/2019,P09646AE3
5/16/2019,P1265VAA0
5/16/2019,P28768AA0
5/16/2019,279158AK5
5/16/2019,80282KAU0
5/16/2019,P90187AE8
5/16/2019,71647NAV1
5/16/2019,L9412AAA5
5/16/2019,P1905CAE0
5/17/2019,74432QCB9
5/17/2019,P98088AA8
5/17/2019,G53770AB2
5/17/2019,46556MAF9
5/17/2019,G25343AA5
5/17/2019,0258M0EE5
5/17/2019,17325FAJ7
5/17/2019,46623EKG3
5/17/2019,83368TAA6
5/17/2019,P3063DAA0
5/20/2019,P989MJBN0
5/20/2019,893647AW7
5/20/2019,59151KAH1
5/20/2019,C10602AW7
5/20/2019,L21779AC4
5/20/2019,912909AM0
5/20/2019,001546AT7
5/20/2019,007903BC0
5/20/2019,054303BA9
5/20/2019,U2526DAH2
5/20/2019,607059AT9
5/20/2019,345370CA6
5/21/2019,P04559AL7
5/21/2019,P19157AR0
5/21/2019,022249AU0
5/21/2019,C10602BG1
5/21/2019,984121CB7
5/21/2019,88167AAL5
5/21/2019,74432QCB9
5/21/2019,P3772WAF9
5/21/2019,U42804AQ4
5/21/2019,654902AC9
5/21/2019,91911TAE3
5/21/2019,P989MJBN0
5/21/2019,723664AB4
5/21/2019,P79849AC2
5/21/2019,343412AF9
5/21/2019,88165FAG7
5/21/2019,201723AL7
